# Distance (mm), Thickness (microns)
-3.000000000000000000e+00,4.781463064646700900e+01
-2.998800000000000132e+00,4.782209892995238221e+01
-2.997599999999999820e+00,4.782956721343776252e+01
-2.996399999999999952e+00,4.783703549692314283e+01
-2.995200000000000085e+00,4.782762041742972059e+01
-2.994000000000000217e+00,4.783295490563356367e+01
-2.992799999999999905e+00,4.783828939383740675e+01
-2.991600000000000037e+00,4.784362388204124983e+01
-2.990400000000000169e+00,4.786584173322388125e+01
-2.989199999999999857e+00,4.787224311906849294e+01
-2.987999999999999989e+00,4.787864450491310464e+01
-2.986800000000000122e+00,4.788504589075770923e+01
-2.985599999999999810e+00,4.788281859583942435e+01
-2.984399999999999942e+00,4.788815308404326743e+01
-2.983200000000000074e+00,4.789348757224710340e+01
-2.982000000000000206e+00,4.789882206045094648e+01
-2.980799999999999894e+00,4.793412318223305135e+01
-2.979600000000000026e+00,4.794159146571842456e+01
-2.978400000000000158e+00,4.794905974920380487e+01
-2.977199999999999847e+00,4.795652803268917808e+01
-2.975999999999999979e+00,4.795100654521183969e+01
-2.974800000000000111e+00,4.795740793105645139e+01
-2.973599999999999799e+00,4.796380931690106308e+01
-2.972399999999999931e+00,4.797021070274566767e+01
-2.971200000000000063e+00,4.800695272071553177e+01
-2.970000000000000195e+00,4.801548790184168070e+01
-2.968799999999999883e+00,4.802402308296782962e+01
-2.967600000000000016e+00,4.803255826409397145e+01
-2.966400000000000148e+00,4.802701507134381842e+01
-2.965199999999999836e+00,4.803981784303303471e+01
-2.963999999999999968e+00,4.805262061472225099e+01
-2.962800000000000100e+00,4.806542338641146728e+01
-2.961599999999999788e+00,4.806152979439539763e+01
-2.960399999999999920e+00,4.807433256608461392e+01
-2.959200000000000053e+00,4.808713533777383020e+01
-2.958000000000000185e+00,4.809993810946305359e+01
-2.956799999999999873e+00,4.810604230003371384e+01
-2.955600000000000005e+00,4.811564437880063139e+01
-2.954400000000000137e+00,4.812524645756754182e+01
-2.953199999999999825e+00,4.813484853633445937e+01
-2.951999999999999957e+00,4.811523197861711054e+01
-2.950800000000000090e+00,4.812483405738402098e+01
-2.949600000000000222e+00,4.813443613615093142e+01
-2.948399999999999910e+00,4.814403821491784896e+01
-2.947200000000000042e+00,4.818080193816053480e+01
-2.946000000000000174e+00,4.818827022164590801e+01
-2.944799999999999862e+00,4.819573850513128832e+01
-2.943599999999999994e+00,4.819057431983723916e+01
-2.942400000000000126e+00,4.819590880804106803e+01
-2.941199999999999815e+00,4.820124329624489690e+01
-2.939999999999999947e+00,4.820657778444872577e+01
-2.938800000000000079e+00,4.821856424682864883e+01
-2.937600000000000211e+00,4.822022869943472756e+01
-2.936399999999999899e+00,4.822189315204080629e+01
-2.935200000000000031e+00,4.822355760464688501e+01
-2.934000000000000163e+00,4.823238519444658579e+01
-2.932799999999999851e+00,4.823404964705267162e+01
-2.931599999999999984e+00,4.823571409965875034e+01
-2.930400000000000116e+00,4.823737855226483617e+01
-2.929199999999999804e+00,4.824597379594173674e+01
-2.927999999999999936e+00,4.824896981063268697e+01
