# Distance (mm), Thickness (microns)
-3.000000000000000000e+00,5.863394138116633059e+01
-2.998800000000000132e+00,5.863162406762517520e+01
-2.997599999999999820e+00,5.862930675408401981e+01
-2.996399999999999952e+00,5.862698944054286443e+01
-2.995200000000000085e+00,5.857027509551924283e+01
-2.994000000000000217e+00,5.856795778197809454e+01
-2.992799999999999905e+00,5.856564046843693916e+01
-2.991600000000000037e+00,5.856332315489578377e+01
-2.990400000000000169e+00,5.855153350493915099e+01
-2.989199999999999857e+00,5.854689887785684732e+01
-2.987999999999999989e+00,5.854226425077453655e+01
-2.986800000000000122e+00,5.853762962369222578e+01
-2.985599999999999810e+00,5.854206116852367359e+01
-2.984399999999999942e+00,5.853742654144136282e+01
-2.983200000000000074e+00,5.853279191435905915e+01
-2.982000000000000206e+00,5.852815728727674838e+01
-2.980799999999999894e+00,5.851526881728416640e+01
-2.979600000000000026e+00,5.851295150374301812e+01
-2.978400000000000158e+00,5.851063419020186274e+01
-2.977199999999999847e+00,5.850831687666070735e+01
-2.975999999999999979e+00,5.849693339120581470e+01
-2.974800000000000111e+00,5.849461607766465931e+01
-2.973599999999999799e+00,5.849229876412350393e+01
-2.972399999999999931e+00,5.848998145058235565e+01
-2.971200000000000063e+00,5.842473765102227645e+01
-2.970000000000000195e+00,5.840619914269305468e+01
-2.968799999999999883e+00,5.838766063436382581e+01
-2.967600000000000016e+00,5.836912212603459693e+01
-2.966400000000000148e+00,5.841404682110158575e+01
-2.965199999999999836e+00,5.839550831277235687e+01
-2.963999999999999968e+00,5.837696980444313510e+01
-2.962800000000000100e+00,5.835843129611392044e+01
-2.961599999999999788e+00,5.834219922191953600e+01
-2.960399999999999920e+00,5.833988190837838772e+01
-2.959200000000000053e+00,5.833756459483723233e+01
-2.958000000000000185e+00,5.833524728129607695e+01
-2.956799999999999873e+00,5.832203605558336790e+01
-2.955600000000000005e+00,5.831740142850106423e+01
-2.954400000000000137e+00,5.831276680141876056e+01
-2.953199999999999825e+00,5.830813217433644979e+01
-2.951999999999999957e+00,5.831256371916789050e+01
-2.950800000000000090e+00,5.830792909208558683e+01
